STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2008,4.449918747,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2014,26.01069069,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2025,17.37937546,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2007,10.99603176,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2013,-2.056598902,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2019,7.788408279,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2025,9.0224123,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2006,-25.6262188,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_12,Sector: Manufacturing - Food,_Z,Not Applicable,_Z,Not Applicable,2006,-27.91391373,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_27,Sector: Manufacturing - Other Manufacturing,_Z,Not Applicable,_Z,Not Applicable,2006,-24.99295044,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2010,70.65419006,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2024,-4.970683575,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ATG,Antigua and Barbuda,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2010,-3.466818571,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2006,13.82205963,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_12,Sector: Manufacturing - Food,_Z,Not Applicable,_Z,Not Applicable,2006,6.657354832,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_15,Sector: Manufacturing - Garments,_Z,Not Applicable,_Z,Not Applicable,2006,15.81672859,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_17,Sector: Manufacturing - Machinery & Equipment,_Z,Not Applicable,_Z,Not Applicable,2006,23.85594368,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_31,Sector: Manufacturing - Rest of Universe-Manufacturing,_Z,Not Applicable,_Z,Not Applicable,2006,14.40858459,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_33,Sector: Manufacturing - Textiles,_Z,Not Applicable,_Z,Not Applicable,2006,15.69874287,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2010,-2.098264217,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_4,Sector: Manufacturing - Basic Metals/Fabricated Metals/Machinery & Equip.,_Z,Not Applicable,_Z,Not Applicable,2010,-9.519993782,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_7,"Sector: Manufacturing - Chemicals, Plastics & Rubber",_Z,Not Applicable,_Z,Not Applicable,2010,-3.174808979,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_12,Sector: Manufacturing - Food,_Z,Not Applicable,_Z,Not Applicable,2010,2.981779337,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_27,Sector: Manufacturing - Other Manufacturing,_Z,Not Applicable,_Z,Not Applicable,2010,1.59613359,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_34,Sector: Manufacturing - Textiles & Garments,_Z,Not Applicable,_Z,Not Applicable,2010,-4.384803295,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2017,-6.517751217,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_12,Sector: Manufacturing - Food,_Z,Not Applicable,_Z,Not Applicable,2017,-5.91301775,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_27,Sector: Manufacturing - Other Manufacturing,_Z,Not Applicable,_Z,Not Applicable,2017,-6.783331394,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_34,Sector: Manufacturing - Textiles & Garments,_Z,Not Applicable,_Z,Not Applicable,2017,-6.213018417,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2009,12.11981869,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2013,-3.037504911,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2020,9.517073631,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_12,Sector: Manufacturing - Food,_Z,Not Applicable,_Z,Not Applicable,2020,9.101397514,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_27,Sector: Manufacturing - Other Manufacturing,_Z,Not Applicable,_Z,Not Applicable,2020,9.753507614,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2024,9.110305786,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2021,0.5918841958,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_12,Sector: Manufacturing - Food,_Z,Not Applicable,_Z,Not Applicable,2021,0.7109563351,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_17,Sector: Manufacturing - Machinery & Equipment,_Z,Not Applicable,_Z,Not Applicable,2021,-1.820325017,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_27,Sector: Manufacturing - Other Manufacturing,_Z,Not Applicable,_Z,Not Applicable,2021,1.018689275,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2025,-0.8066295385,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_12,Sector: Manufacturing - Food,_Z,Not Applicable,_Z,Not Applicable,2025,0.6478304267,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_27,Sector: Manufacturing - Other Manufacturing,_Z,Not Applicable,_Z,Not Applicable,2025,-1.031028628,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2009,-0.2429695278,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2013,-6.385159492,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2024,10.93186092,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BHS,"Bahamas, The",WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2010,-3.305379152,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BHR,Bahrain,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2024,9.526986122,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGD,Bangladesh,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2007,2.328979015,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGD,Bangladesh,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_5,Sector: Manufacturing - Chemicals & Chemical Products,_Z,Not Applicable,_Z,Not Applicable,2007,-0.1441627294,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGD,Bangladesh,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_12,Sector: Manufacturing - Food,_Z,Not Applicable,_Z,Not Applicable,2007,-0.8293406367,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGD,Bangladesh,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_15,Sector: Manufacturing - Garments,_Z,Not Applicable,_Z,Not Applicable,2007,3.870066881,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGD,Bangladesh,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_16,Sector: Manufacturing - Leather Products,_Z,Not Applicable,_Z,Not Applicable,2007,3.66256237,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGD,Bangladesh,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_18,Sector: Manufacturing - Machinery & Equipment & Electronics,_Z,Not Applicable,_Z,Not Applicable,2007,1.855878353,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGD,Bangladesh,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_27,Sector: Manufacturing - Other Manufacturing,_Z,Not Applicable,_Z,Not Applicable,2007,2.525758505,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGD,Bangladesh,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_33,Sector: Manufacturing - Textiles,_Z,Not Applicable,_Z,Not Applicable,2007,5.769201279,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGD,Bangladesh,WB_ES_M_PERF1,Real annual sales growth (%) by sector - Manufacturing,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_M_SECTOR_1,Sector: Manufacturing - All,_Z,Not Applicable,_Z,Not Applicable,2013,0.8733080626,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
